,project_number,location_name,year_range,from,to,from_lat_long,to_lat_long
1892,[170 -04] 37898,On N Kedzie Ave From W Walnut St To W Lake St,2017-2021,N Kedzie Ave And W Walnut St,N Kedzie Ave And W Lake St,"[41.88542, -87.706273]","[42.0166595000003, -87.7087320000286]"
1893,[170 -04] 37898,On N Keene Ave From N Sauganash Ave To N Ionia Ave,2017-2021,N Keene Ave And N Sauganash Ave,N Keene Ave And N Ionia Ave,"[41.9957015, -87.7448504]","[41.9941983, -87.7461654]"
1894,[170 -04] 37898,On N Kildare Ave From W Lake St To W Maypole Ave,2017-2021,N Kildare Ave And W Lake St,N Kildare Ave And W Maypole Ave,"[41.8859111, -87.7331406]","[41.884621, -87.7331511]"
1895,[170 -04] 37898,On N Kirby Ave From N Caldwell Ave To N Kercheval Ave,2017-2021,N Kirby Ave And N Caldwell Ave,N Kirby Ave And N Kercheval Ave,"[41.98612705, -87.7427009]","[41.9851252, -87.7450675]"
1896,[170 -04] 37898,On N Kostner Ave From W Lake St To W Maypole Ave,2017-2021,N Kostner Ave And W Lake St,N Kostner Ave And W Maypole Ave,"[41.8860604, -87.7356355]","[41.884559, -87.735592]"
1897,[170 -04] 37898,On N Laflin St From W Arbour Pl To W Lake St,2017-2021,N Laflin St And W Arbour Pl,N Laflin St And W Lake St,"[41.888246, -87.6644]","[41.885447, -87.664312]"
1898,[170 -04] 37898,On N Laramie Ave From W Concord Pl To W North Ave,2017-2021,N Laramie Ave And W Concord Pl,N Laramie Ave And W North Ave,"[41.91041, -87.755655]","[41.9213810983388, -87.7560455696731]"
1899,[170 -04] 37898,On N Lawndale Ave From W Argyle St To W Lawrence Ave,2017-2021,N Lawndale Ave And W Argyle St,N Lawndale Ave And W Lawrence Ave,"[41.9719512, -87.7208074]","[41.968342, -87.720683]"
1900,[170 -04] 37898,On N Leavitt St From W Irving Park Rd To W Byron St,2017-2021,N Leavitt St And W Irving Park Rd,N Leavitt St And W Byron St,"[41.954055, -87.6836]","[41.952291, -87.683548]"
1901,[170 -04] 37898,On N Homan Ave From W Franklin Blvd To W Governors Pkwy,2017-2021,N Homan Ave And W Franklin Blvd,N Homan Ave And W Governors Pkwy,"[41.890028, -87.711289]","[41.888375, -87.711234]"
1902,[170 -04] 37898,On N New England Ave From W Belmont Ave To W Wellington Ave,2017-2021,N New England Ave And W Belmont Ave,N New England Ave And W Wellington Ave,"[41.938127, -87.798125]","[41.9345001, -87.7980333]"
1903,[170 -04] 37898,On N Mulligan Ave From W Peterson Ave To N Northwest Hwy,2017-2021,N Mulligan Ave And W Peterson Ave,N Mulligan Ave And N Northwest Hwy,"[41.9901298, -87.7863902]","[41.985273, -87.786537]"
1904,[170 -04] 37898,On N Mobile Ave From W Gunnison St To W Argyle St,2017-2021,N Mobile Ave And W Gunnison St,N Mobile Ave And W Argyle St,"[41.9684404, -87.7855899]","[41.9719983, -87.7855409]"
1905,[170 -04] 37898,On N Milwaukee Ave From W Catalpa Ave To W Farragut Ave,2017-2021,N Milwaukee Ave And W Catalpa Ave,N Milwaukee Ave And W Farragut Ave,"[41.9810422, -87.7726298]","[41.9765241, -87.76845825000001]"
1906,[170 -04] 37898,On N Lockwood Ave From W Altgeld St To W Fullerton Ave,2017-2021,N Lockwood Ave And W Altgeld St,N Lockwood Ave And W Fullerton Ave,"[41.9259364, -87.758668]","[41.924129, -87.758612]"
1907,[170 -04] 37898,On N Meade Ave From W George St To W Diversey Ave,2017-2021,N Meade Ave And W George St,N Meade Ave And W Diversey Ave,"[41.932952, -87.778427]","[41.93111, -87.77835]"
1908,[170 -04] 37898,On N Mcclellan Ave From N Mandell Ave To N Meredith Ave,2017-2021,N Mcclellan Ave And N Mandell Ave,N Mcclellan Ave And N Meredith Ave,"[41.9958331, -87.7705518]","[41.9943732, -87.7690537]"
1909,[170 -04] 37898,On N Lotus Ave From W Belmont Ave To W Wellington Ave,2017-2021,N Lotus Ave And W Belmont Ave,N Lotus Ave And W Wellington Ave,"[41.938631, -87.762805]","[41.9349797, -87.7626887]"
1910,[170 -04] 37898,On N Loomis St From W Arbour Pl To W Fulton St,2017-2021,N Loomis St And W Arbour Pl,N Loomis St And W Fulton St,"[41.8880065, -87.6625525999976]","[41.886604, -87.662471]"
1911,[170 -04] 37898,On N Michigan Ave From E Huron St To E Ontario St,2017-2021,N Michigan Ave And E Huron St,N Michigan Ave And E Ontario St,"[41.894958, -87.624336]","[41.8933436, -87.62412]"
1912,[170 -04] 37898,On N Newcastle Ave From W Belmont Ave To W Wellington Ave,2017-2021,N Newcastle Ave And W Belmont Ave,N Newcastle Ave And W Wellington Ave,"[41.938148, -87.796894]","[41.934512, -87.796794]"
1913,[170 -04] 37898,On S Ada St From W 50th St To W 51st St,2017-2021,S Ada St And W 50th St,S Ada St And W 51st St,"[41.803236, -87.658738]","[41.801424, -87.658706]"
1914,[170 -04] 37898,On N Nordica Ave From W Waveland Ave To W Roscoe St,2017-2021,N Nordica Ave And W Waveland Ave,N Nordica Ave And W Roscoe St,"[41.9471513, -87.8033813]","[41.941704, -87.8031827]"
1915,[170 -04] 37898,On N Nottingham Ave From W School St To W Belmont Ave,2017-2021,N Nottingham Ave And W School St,N Nottingham Ave And W Belmont Ave,"[41.939854, -87.804318]","[41.9380446, -87.8042742]"
1916,[170 -04] 37898,On N Oakley Blvd From W Hubbard St To W Grand Ave,2017-2021,N Oakley Blvd And W Hubbard St,N Oakley Blvd And W Grand Ave,"[41.8895978, -87.6842159]","[41.89072, -87.6842557]"
1917,[170 -04] 37898,On N Oconto Ave From W Thorndale Ave To W Talcott Ave,2017-2021,N Oconto Ave And W Thorndale Ave,N Oconto Ave And W Talcott Ave,"[41.9877644, -87.8083494]","[41.986512, -87.808431]"
1918,[170 -04] 37898,On N Olcott Ave From W Gregory St To W Catalpa Ave,2017-2021,N Olcott Ave And W Gregory St,N Olcott Ave And W Catalpa Ave,"[41.9815109, -87.8136976]","[41.979268, -87.8143317]"
1919,[170 -04] 37898,On N Paris Ave From W Grace St To W Waveland Ave,2017-2021,N Paris Ave And W Grace St,N Paris Ave And W Waveland Ave,"[41.9485666, -87.8304291]","[41.946748, -87.830334]"
1920,[170 -04] 37898,On N Point St From N California Ave To W Armitage Ave,2017-2021,N Point St And N California Ave,N Point St And W Armitage Ave,"[41.91956, -87.697233]","[41.91753, -87.694084]"
1921,[170 -04] 37898,On N Sayre Ave From W Bloomingdale Ave To W North Ave,2017-2021,N Sayre Ave And W Bloomingdale Ave,N Sayre Ave And W North Ave,"[41.9126049, -87.8004031]","[41.909025, -87.800203]"
1922,[170 -04] 37898,On N Sheridan Rd From W Belmont Ave To W Wellington Ave,2017-2021,N Sheridan Rd And W Belmont Ave,N Sheridan Rd And W Wellington Ave,"[41.9401327, -87.6395461]","[41.9365812, -87.6394415]"
1923,[170 -04] 37898,On N Springfield Ave From W Grand Ave To W Potomac Ave,2017-2021,N Springfield Ave And W Grand Ave,N Springfield Ave And W Potomac Ave,"[41.905216, -87.723956]","[41.90449, -87.72394]"
1924,[170 -04] 37898,On N Wayne Ave From W Morse Ave To W Pratt Blvd,2017-2021,N Wayne Ave And W Morse Ave,N Wayne Ave And W Pratt Blvd,"[42.0079622, -87.6650276]","[42.0055221, -87.6649362]"
1925,[170 -04] 37898,On N Lincoln Ave From W Devon Ave To N Drake Ave,2017-2021,N Lincoln Ave And W Devon Ave,N Lincoln Ave And N Drake Ave,"[41.997238, -87.718499]","[41.996515, -87.717535]"
1926,[170 -04] 37898,On N Newland Ave From W Irving Park Rd To W Grace St,2017-2021,N Newland Ave And W Irving Park Rd,N Newland Ave And W Grace St,"[41.952759, -87.799896]","[41.9490436, -87.7997649]"
1927,[170 -04] 37898,On N Lincoln Ave From N St Louis Ave To N Jersey Ave,2017-2021,N Lincoln Ave And N St Louis Ave,N Lincoln Ave And N Jersey Ave,"[41.9956109, -87.71645240000001]","[41.992857, -87.711578]"
1928,[170 -04] 37898,On N Homan Ave From W Fulton Blvd To W Lake St,2017-2021,N Homan Ave And W Fulton Blvd,N Homan Ave And W Lake St,"[41.886382, -87.711185]","[41.884708, -87.711131]"
1929,[170 -04] 37898,On N Leavitt St From W Kinzie St To W Grand Ave,2017-2021,N Leavitt St And W Kinzie St,N Leavitt St And W Grand Ave,"[41.8886446, -87.6817166]","[41.8907684, -87.6817972]"
1930,[170 -04] 37898,On S Archer Ave From S Damen Ave To S Paulina St,2017-2021,S Archer Ave And S Damen Ave,S Archer Ave And S Paulina St,"[41.831904, -87.675336]","[41.836226, -87.668164]"
1931,[170 -04] 37898,On E 69th St From S Langley Ave To S Cottage Grove Ave,2017-2021,E 69th St And S Langley Ave,E 69th St And S Cottage Grove Ave,"[41.7694538, -87.6081473]","[41.769485, -87.60569]"
1932,[170 -04] 37898,On N Ada St From N Ogden Ave To W Madison St,2017-2021,N Ada St And N Ogden Ave,N Ada St And W Madison St,"[41.888011, -87.6610115]","[41.881613, -87.660571]"
1933,[170 -04] 37898,On N Albany Ave From W Lawrence Ave To W Leland Ave,2017-2021,N Albany Ave And W Lawrence Ave,N Albany Ave And W Leland Ave,"[41.968466, -87.706038]","[41.966648, -87.706007]"
1934,[170 -04] 37898,On N Bishop St From W Washington Blvd To W Madison St,2017-2021,N Bishop St And W Washington Blvd,N Bishop St And W Madison St,"[41.882898, -87.663729]","[41.88155, -87.663676]"
1935,[170 -04] 37898,On N Campbell Ave From W Altgeld St To W Fullerton Ave,2017-2021,N Campbell Ave And W Altgeld St,N Campbell Ave And W Fullerton Ave,"[41.926695, -87.690132]","[41.924924, -87.689375]"
1936,[170 -04] 37898,On N Central Park Ave From W Grand Ave To W Iowa St,2017-2021,N Central Park Ave And W Grand Ave,N Central Park Ave And W Iowa St,"[41.902263, -87.716547]","[41.8972908, -87.716356]"
1937,[170 -04] 37898,On N Cicero Ave From W Berenice Ave To W Warwick Ave,2017-2021,N Cicero Ave And W Berenice Ave,N Cicero Ave And W Warwick Ave,"[41.950688, -87.747273]","[41.948871, -87.747106]"
1938,[170 -04] 37898,On N Claremont Ave From W Cornelia Ave To W Roscoe St,2017-2021,N Claremont Ave And W Cornelia Ave,N Claremont Ave And W Roscoe St,"[41.944946, -87.686969]","[41.943127, -87.686926]"
1939,[170 -04] 37898,On N Cumberland Ave From W Irving Park Rd To W Berteau Ave,2017-2021,N Cumberland Ave And W Irving Park Rd,N Cumberland Ave And W Berteau Ave,"[41.952015, -87.836847]","[41.955687, -87.836626]"
1940,[170 -04] 37898,On N Damen Ave From W Ohio St To W Superior St,2017-2021,N Damen Ave And W Ohio St,N Damen Ave And W Superior St,"[41.892282, -87.676998]","[41.894817, -87.677071]"
1941,[170 -04] 37898,On N Leona Ave From N Hiawatha Ave To N Caldwell Ave,2017-2021,N Leona Ave And N Hiawatha Ave,N Leona Ave And N Caldwell Ave,"[41.9959933, -87.7547034]","[41.9929206, -87.7573037]"
1942,[170 -04] 37898,On N Greenview Ave From W Jarvis Ave To W Sherwin Ave,2017-2021,N Greenview Ave And W Jarvis Ave,N Greenview Ave And W Sherwin Ave,"[42.0160769, -87.6681565]","[42.0149741, -87.6680946]"
1943,[170 -04] 37898,On N Hiawatha Ave From N Lenox Ave To N Leader Ave,2017-2021,N Hiawatha Ave And N Lenox Ave,N Hiawatha Ave And N Leader Ave,"[41.9955171, -87.7536565]","[41.9945461, -87.7516245]"
1944,[170 -04] 37898,On N Jersey Ave From W Ardmore Ave To W Bryn Mawr Ave,2017-2021,N Jersey Ave And W Ardmore Ave,N Jersey Ave And W Bryn Mawr Ave,"[41.986686, -87.709932]","[41.983062, -87.708879]"
1945,[170 -04] 37898,On N Kedzie Ave From W Argyle St To W Ainslie St,2017-2021,N Kedzie Ave And W Argyle St,N Kedzie Ave And W Ainslie St,"[41.972105, -87.708594]","[41.970276, -87.708538]"
1946,[170 -04] 37898,On N Keeler Ave From W Lake St To W Maypole Ave,2017-2021,N Keeler Ave And W Lake St,N Keeler Ave And W Maypole Ave,"[41.8857601, -87.730691]","[41.8846207, -87.7306645]"
1947,[170 -04] 37898,On N Kilbourn Ave From W Roscoe St To W School St,2017-2021,N Kilbourn Ave And W Roscoe St,N Kilbourn Ave And W School St,"[41.9425913, -87.739599]","[41.94077, -87.739547]"
1948,[170 -04] 37898,On N Kimball Ave From N Wisner Ave To W Diversey Ave,2017-2021,N Kimball Ave And N Wisner Ave,N Kimball Ave And W Diversey Ave,"[41.935336, -87.712365]","[41.931964, -87.71226]"
1949,[170 -04] 37898,On N Kolmar Ave From W George St To W Diversey Ave,2017-2021,N Kolmar Ave And W George St,N Kolmar Ave And W Diversey Ave,"[41.933452, -87.740746]","[41.931638, -87.740674]"
1950,[170 -04] 37898,On N La Salle Dr From W Chicago Ave To W Oak St,2017-2021,N La Salle Dr And W Chicago Ave,N La Salle Dr And W Oak St,"[41.896629, -87.632795]","[41.90056, -87.632749]"
1951,[170 -04] 37898,On N Lansing Ave From N Forest Glen Ave To N Lemont Ave,2017-2021,N Lansing Ave And N Forest Glen Ave,N Lansing Ave And N Lemont Ave,"[41.9845355, -87.7506125]","[41.9867595, -87.7539491]"
1952,[170 -04] 37898,On N Latrobe Ave From W Augusta Blvd To W Iowa St,2017-2021,N Latrobe Ave And W Augusta Blvd,N Latrobe Ave And W Iowa St,"[41.898596, -87.756912]","[41.896761, -87.756863]"
1953,[170 -04] 37898,On N Leamington Ave From W Berwyn Ave To W Foster Ave,2017-2021,N Leamington Ave And W Berwyn Ave,N Leamington Ave And W Foster Ave,"[41.977037, -87.756598]","[41.9752355, -87.7565398]"
1954,[170 -04] 37898,On N Hamlin Ave From W School St To W Belmont Ave,2017-2021,N Hamlin Ave And W School St,N Hamlin Ave And W Belmont Ave,"[41.940994, -87.722337]","[41.939177, -87.722312]"
1955,[170 -04] 37898,On S Ashland Ave From S Archer Ave To W Pershing Rd,2017-2021,S Ashland Ave And S Archer Ave,S Ashland Ave And W Pershing Rd,"[41.837676, -87.665817]","[41.8231271, -87.6653327]"
1956,[170 -04] 37898,On S Ashland Ave From W Congress Pkwy To W Roosevelt Rd,2017-2021,S Ashland Ave And W Congress Pkwy,S Ashland Ave And W Roosevelt Rd,"[41.875197, -87.66654]","[41.866928, -87.666477]"
1957,[170 -04] 37898,On S Yale Ave From W 70th St To W 71st St,2017-2021,S Yale Ave And W 70th St,S Yale Ave And W 71st St,"[41.767238, -87.631061]","[41.765419, -87.631002]"
1958,[170 -04] 37898,On W 50th St From S Leavitt St To S Hoyne Ave,2017-2021,W 50th St And S Leavitt St,W 50th St And S Hoyne Ave,"[41.802998, -87.6790783]","[41.8030288, -87.6769709]"
1959,[170 -04] 37898,On W 52nd St From S Harlem Ave To S Sayre Ave,2017-2021,W 52nd St And S Harlem Ave,W 52nd St And S Sayre Ave,"[41.7975924, -87.8015106]","[41.7976428, -87.7965937]"
1960,[170 -04] 37898,On W 53rd St From S Loomis Blvd To S Bishop St,2017-2021,W 53rd St And S Loomis Blvd,W 53rd St And S Bishop St,"[41.797752, -87.659814]","[41.797742, -87.6610343]"
1961,[170 -04] 37898,On W 54th St From S Central Ave To S Linder Ave,2017-2021,W 54th St And S Central Ave,W 54th St And S Linder Ave,"[41.794556, -87.762262]","[41.7945773, -87.759905]"
1962,[170 -04] 37898,On W 54th St From S Linder Ave To S Laramie Ave,2017-2021,W 54th St And S Linder Ave,W 54th St And S Laramie Ave,"[41.7945773, -87.759905]","[41.794705, -87.752506]"
1963,[170 -04] 37898,On W 54th St From S Paulina St To S Ashland Ave,2017-2021,W 54th St And S Paulina St,W 54th St And S Ashland Ave,"[41.7958282, -87.667032]","[41.79589, -87.664536]"
1964,[170 -04] 37898,On W 55th St From S Central Ave To S Laramie Ave,2017-2021,W 55th St And S Central Ave,W 55th St And S Laramie Ave,"[41.792736, -87.762197]","[41.792913, -87.752448]"
1965,[170 -04] 37898,On W 55th St From S Menard Ave To S Central Ave,2017-2021,W 55th St And S Menard Ave,W 55th St And S Central Ave,"[41.792647, -87.767149]","[41.792736, -87.762197]"
1966,[170 -04] 37898,On W 56th St From S Hermitage Ave To S Paulina St,2017-2021,W 56th St And S Hermitage Ave,W 56th St And S Paulina St,"[41.7922049, -87.6681492]","[41.79222, -87.666938]"
1967,[170 -04] 37898,On S Wentworth Ave From W 71st St To W 73rd St,2017-2021,S Wentworth Ave And W 71st St,S Wentworth Ave And W 73rd St,"[41.765448, -87.629771]","[41.7618944, -87.62960290000001]"
1968,[170 -04] 37898,On W 57th St From S Massasoit Ave To S Central Ave,2017-2021,W 57th St And S Massasoit Ave,W 57th St And S Central Ave,"[41.788983, -87.765803]","[41.7901360493518, -87.6805978304346]"
1969,[170 -04] 37898,On W 59th St From S Melvina Ave To S Mason Ave,2017-2021,W 59th St And S Melvina Ave,W 59th St And S Mason Ave,"[41.7850999, -87.7766612]","[41.7852286, -87.770558]"
1970,[170 -04] 37898,On W 59th St From S Racine Ave To S Morgan St,2017-2021,W 59th St And S Racine Ave,W 59th St And S Morgan St,"[41.786903, -87.654716]","[41.78698, -87.649851]"
1971,[170 -04] 37898,On W 59th St From W 4558 To S Kostner Ave,2017-2021,4558 W 59th St,W 59th St And S Kostner Ave,"[41.786047, -87.737457]","[41.78582, -87.732743]"
1972,[170 -04] 37898,On W 60th St From S Lawndale Ave To S St Louis Ave,2017-2021,W 60th St And S Lawndale Ave,W 60th St And S St Louis Ave,"[41.784207, -87.715551]","[41.7843199, -87.7105647]"
1973,[170 -04] 37898,On W 60th St From S Spaulding Ave To S Kedzie Ave,2017-2021,W 60th St And S Spaulding Ave,W 60th St And S Kedzie Ave,"[41.7843799, -87.7057206]","[41.784417, -87.703297]"
1974,[170 -04] 37898,On W 62nd St From S New England Ave To S Oak Park Ave,2017-2021,W 62nd St And S New England Ave,W 62nd St And S Oak Park Ave,"[41.7793238, -87.7941562]","[41.779392, -87.791072]"
1975,[170 -04] 37898,On W 71st St From S Bell Ave To S Halsted St,2017-2021,W 71st St And S Bell Ave,W 71st St And S Halsted St,"[41.764752, -87.679489]","[41.76521, -87.644424]"
1976,[170 -04] 37898,On W 74th St From S St Louis Ave To S Homan Ave,2017-2021,W 74th St And S St Louis Ave,W 74th St And S Homan Ave,"[41.7588165, -87.7099765]","[41.7588325, -87.7074981]"
1977,[170 -04] 37898,On W 83rd St From S St Louis Ave To S Homan Ave,2017-2021,W 83rd St And S St Louis Ave,W 83rd St And S Homan Ave,"[41.742389, -87.7094988]","[41.742429, -87.7070607]"
1978,[170 -04] 37898,On W 87th St From S Paulina St To S Ashland Ave,2017-2021,W 87th St And S Paulina St,W 87th St And S Ashland Ave,"[41.735785, -87.665507]","[41.735849, -87.662999]"
1979,[170 -04] 37898,On W Adams St From S Western Ave To S Leavitt St,2017-2021,W Adams St And S Western Ave,W Adams St And S Leavitt St,"[41.878624, -87.686448]","[41.878637850000004, -87.68143415]"
1980,[170 -04] 37898,On W 58th St From S Paulina St To S Ashland Ave,2017-2021,W 58th St And S Paulina St,W 58th St And S Ashland Ave,"[41.7885552, -87.6668527]","[41.78859, -87.664528]"
1981,[170 -04] 37898,On S Wallace St From W 76th St To W 77th St,2017-2021,S Wallace St And W 76th St,S Wallace St And W 77th St,"[41.756159, -87.639919]","[41.754349, -87.639858]"
1982,[170 -04] 37898,On W Ainslie St From N Lavergne Ave To N Cicero Ave,2017-2021,W Ainslie St And N Lavergne Ave,W Ainslie St And N Cicero Ave,"[41.969739, -87.752689]","[41.9698071, -87.7478662]"
1983,[170 -04] 37898,On S South Chicago Ave From E 73rd St To E 74th St,2017-2021,S South Chicago Ave And E 73rd St,S South Chicago Ave And E 74th St,"[41.762275, -87.60052]","[41.760435, -87.597968]"
1984,[170 -04] 37898,On S Blackstone Ave From E 74th St To E 75th St,2017-2021,S Blackstone Ave And E 74th St,S Blackstone Ave And E 75th St,"[41.7605542, -87.588434]","[41.758727, -87.588362]"
1985,[170 -04] 37898,On S California Ave From W Monroe St To W Van Buren St,2017-2021,S California Ave And W Monroe St,S California Ave And W Van Buren St,"[41.880187, -87.696289]","[41.8760167, -87.696175]"
1986,[170 -04] 37898,On S Carpenter St From W 71st St To W 72nd St,2017-2021,S Carpenter St And W 71st St,S Carpenter St And W 72nd St,"[41.765118, -87.650482]","[41.763297, -87.650433]"
1987,[170 -04] 37898,On S Damen Ave From S Archer Ave To W 35th St,2017-2021,S Damen Ave And S Archer Ave,S Damen Ave And W 35th St,"[41.831904, -87.675336]","[41.8304056, -87.6752946]"
1988,[170 -04] 37898,On S Dorchester Ave From E 70th St To E 71st St,2017-2021,S Dorchester Ave And E 70th St,S Dorchester Ave And E 71st St,"[41.7678429, -87.5910386]","[41.765982, -87.5910871]"
1989,[170 -04] 37898,On S Evans Ave From E 67th St To E 69th St,2017-2021,S Evans Ave And E 67th St,S Evans Ave And E 69th St,"[41.773107, -87.607033]","[41.76948, -87.606953]"
1990,[170 -04] 37898,On S Vernon Ave From E 69th St To E 70th St,2017-2021,S Vernon Ave And E 69th St,S Vernon Ave And E 70th St,"[41.769347, -87.61415]","[41.767528, -87.61409]"
1991,[170 -04] 37898,On S Hamilton Ave From W Adams St To W Gladys Ave,2017-2021,S Hamilton Ave And W Adams St,S Hamilton Ave And W Gladys Ave,"[41.8786833, -87.6802835]","[41.88322830200195, -87.63240051269531]"
1992,[170 -04] 37898,On S Homan Ave From W 112th Pl To W 115th St,2017-2021,S Homan Ave And W 112th Pl,S Homan Ave And W 115th St,"[41.6887335, -87.7056054]","[41.684193, -87.705427]"
1993,[170 -04] 37898,On S Hoyne Ave From W 49th Pl To W 50th St,2017-2021,S Hoyne Ave And W 49th Pl,S Hoyne Ave And W 50th St,"[41.8038236, -87.6769993]","[41.8030288, -87.6769709]"
1994,[170 -04] 37898,On S Justine St From W 34th St To W 35th St,2017-2021,S Justine St And W 34th St,S Justine St And W 35th St,"[41.8323568, -87.6643496]","[41.8305315, -87.6643026]"
